Store,Theme,final_theme_score
선정릉역,분위기,0.8
선정릉역,사교 활동,9.83
선정릉역,시각적 요소,9.11
선정릉역,경험,4.37
선정릉역,다양성,6.31
선정릉역,특별함,8.25
삼성현대힐,분위기,3.54
삼성현대힐,사교 활동,12.76
삼성현대힐,시각적 요소,8.39
삼성현대힐,경험,3.95
삼성현대힐,다양성,5.6
삼성현대힐,특별함,5.87
GS타워,분위기,18.47
GS타워,사교 활동,28.34
GS타워,시각적 요소,15.26
GS타워,경험,6.09
GS타워,다양성,6.51
GS타워,특별함,10.65
역삼럭키,분위기,2.29
역삼럭키,사교 활동,13.25
역삼럭키,시각적 요소,11.74
역삼럭키,경험,5.06
역삼럭키,다양성,6.94
역삼럭키,특별함,8.92
신압구정,분위기,1.3
신압구정,사교 활동,9.89
신압구정,시각적 요소,7.47
신압구정,경험,3.9
신압구정,다양성,6.34
신압구정,특별함,10.31
압구정로데오역,분위기,0.31
압구정로데오역,사교 활동,8.87
압구정로데오역,시각적 요소,7.2
압구정로데오역,경험,3.26
압구정로데오역,다양성,5.27
압구정로데오역,특별함,6.62
르네상스사거리,분위기,2.17
르네상스사거리,사교 활동,12.98
르네상스사거리,시각적 요소,8.27
르네상스사거리,경험,5.05
르네상스사거리,다양성,6.45
르네상스사거리,특별함,10.76
포스코,분위기,17.76
포스코,사교 활동,26.54
포스코,시각적 요소,16.99
포스코,경험,7.77
포스코,다양성,9.26
포스코,특별함,17.81
선릉로,분위기,5.36
선릉로,사교 활동,14.03
선릉로,시각적 요소,9.96
선릉로,경험,4.25
선릉로,다양성,6.25
선릉로,특별함,9.41
논현힐탑,분위기,2.69
논현힐탑,사교 활동,11.68
논현힐탑,시각적 요소,8.91
논현힐탑,경험,5.14
논현힐탑,다양성,7.13
논현힐탑,특별함,11.23
도산가로수길,분위기,0.43
도산가로수길,사교 활동,9.55
도산가로수길,시각적 요소,6.08
도산가로수길,경험,4.09
도산가로수길,다양성,5.78
도산가로수길,특별함,9.62
매봉역,분위기,55.57
매봉역,사교 활동,69.75
매봉역,시각적 요소,42.26
매봉역,경험,35.67
매봉역,다양성,34.08
매봉역,특별함,91.01
대치삼성,분위기,4.15
대치삼성,사교 활동,12.96
대치삼성,시각적 요소,7.99
대치삼성,경험,5.39
대치삼성,다양성,7.26
대치삼성,특별함,9.17
언주역,분위기,4.1
언주역,사교 활동,16.22
언주역,시각적 요소,6.85
언주역,경험,5.55
언주역,다양성,7.82
언주역,특별함,10.84
삼성역,분위기,1.86
삼성역,사교 활동,12.76
삼성역,시각적 요소,8.32
삼성역,경험,4.14
삼성역,다양성,8.2
삼성역,특별함,13.17
테헤란로아남타워,분위기,0.95
테헤란로아남타워,사교 활동,8.7
테헤란로아남타워,시각적 요소,6.16
테헤란로아남타워,경험,3.23
테헤란로아남타워,다양성,5.13
테헤란로아남타워,특별함,7.28
강남논현,분위기,12.97
강남논현,사교 활동,34.56
강남논현,시각적 요소,22.28
강남논현,경험,8.93
강남논현,다양성,10.08
강남논현,특별함,21.87
삼성동,분위기,2.59
삼성동,사교 활동,11.82
삼성동,시각적 요소,8.23
삼성동,경험,5.06
삼성동,다양성,7.24
삼성동,특별함,10.06
청담역,분위기,9.28
청담역,사교 활동,30.25
청담역,시각적 요소,12.68
청담역,경험,9.66
청담역,다양성,15.5
청담역,특별함,22.36
압구정현대아파트,분위기,22.49
