Store,Theme,final_theme_score
미아뉴타운,집중도,8.42
미아뉴타운,가성비,5.81
강북구청사거리,분위기,1.52
강북구청사거리,공간,2.45
강북구청사거리,서비스,3.67
강북구청사거리,청결도,5.94
강북구청사거리,집중도,6.51
강북구청사거리,가성비,4.76
미아사거리역,분위기,1.16
미아사거리역,공간,2.97
미아사거리역,서비스,3.78
미아사거리역,청결도,7.12
미아사거리역,집중도,7.5
미아사거리역,가성비,4.92
수유역,분위기,1.48
수유역,공간,3.1
수유역,서비스,3.61
수유역,청결도,6.22
수유역,집중도,6.46
수유역,가성비,5.03
미아역,분위기,1.32
미아역,공간,2.24
미아역,서비스,3.78
미아역,청결도,6.74
미아역,집중도,6.77
미아역,가성비,4.8
수유역5번출구,분위기,19.29
수유역5번출구,공간,17.36
수유역5번출구,서비스,24.89
수유역5번출구,청결도,41.68
수유역5번출구,집중도,46.74
수유역5번출구,가성비,32.74
파라스파라서울,분위기,0.62
파라스파라서울,공간,1.91
파라스파라서울,서비스,5.26
파라스파라서울,청결도,7.24
파라스파라서울,집중도,8.67
파라스파라서울,가성비,2.66
발산역사거리,분위기,2.25
발산역사거리,공간,3.27
발산역사거리,서비스,4.48
발산역사거리,청결도,7.31
발산역사거리,집중도,7.76
발산역사거리,가성비,4.7
마곡사이언스타워R,분위기,1.19
마곡사이언스타워R,공간,1.78
마곡사이언스타워R,서비스,4.24
마곡사이언스타워R,청결도,7.0
마곡사이언스타워R,집중도,7.16
마곡사이언스타워R,가성비,3.51
방화DT,분위기,1.86
방화DT,공간,3.25
방화DT,서비스,4.28
방화DT,청결도,7.12
방화DT,집중도,7.71
방화DT,가성비,1.64
마곡나루역,분위기,1.59
마곡나루역,공간,3.25
마곡나루역,서비스,4.33
마곡나루역,청결도,7.69
마곡나루역,집중도,7.92
마곡나루역,가성비,4.29
마곡GMG,분위기,1.86
마곡GMG,공간,3.12
마곡GMG,서비스,4.52
마곡GMG,청결도,8.06
마곡GMG,집중도,8.08
마곡GMG,가성비,4.53
가양역,분위기,1.74
가양역,공간,3.0
가양역,서비스,4.31
가양역,청결도,7.43
가양역,집중도,7.51
가양역,가성비,3.46
화곡동,분위기,1.34
화곡동,공간,3.1
화곡동,서비스,3.96
화곡동,청결도,7.29
화곡동,집중도,7.51
화곡동,가성비,2.76
등촌,분위기,2.47
등촌,공간,4.05
등촌,서비스,4.97
등촌,청결도,7.87
등촌,집중도,8.17
등촌,가성비,6.09
발산역5번출구,분위기,10.95
발산역5번출구,공간,14.13
발산역5번출구,서비스,15.54
발산역5번출구,청결도,34.55
발산역5번출구,집중도,30.38
발산역5번출구,가성비,11.65
화곡역8번출구,분위기,2.21
화곡역8번출구,공간,3.01
화곡역8번출구,서비스,5.31
화곡역8번출구,청결도,8.58
화곡역8번출구,집중도,8.82
화곡역8번출구,가성비,8.11
강서우장산,분위기,2.48
강서우장산,공간,3.82
강서우장산,서비스,5.34
강서우장산,청결도,9.45
강서우장산,집중도,9.58
강서우장산,가성비,5.66
등촌대로,분위기,1.63
등촌대로,공간,2.77
등촌대로,서비스,4.43
등촌대로,청결도,7.23
등촌대로,집중도,7.83
등촌대로,가성비,3.87
가양역사거리,분위기,1.38
가양역사거리,공간,2.17
가양역사거리,서비스,3.95
가양역사거리,청결도,6.41
가양역사거리,집중도,6.51
가양역사거리,가성비,4.39
내발산,분위기,2.09
내발산,공간,3.45
내발산,서비스,4.95
내발산,청결도,7.38
내발산,집중도,7.82
내발산,가성비,4.61
마곡웰튼,분위기,1.91
마곡웰튼,공간,2.86
마곡웰튼,서비스,4.75
마곡웰튼,청결도,7.98
마곡웰튼,집중도,8.49
마곡웰튼,가성비,4.51
김포공항DT,분위기,3.29
김포공항DT,공간,2.83
김포공항DT,서비스,5.84
김포공항DT,청결도,8.39
김포공항DT,집중도,9.52
김포공항DT,가성비,4.25
강서NC,분위기,1.65
강서NC,공간,3.65
강서NC,서비스,4.55
강서NC,청결도,7.52
강서NC,집중도,8.2
강서NC,가성비,0.8
마곡나루공원,분위기,0.91
마곡나루공원,공간,0.95
마곡나루공원,서비스,4.29
마곡나루공원,청결도,6.24
마곡나루공원,집중도,6.74
마곡나루공원,가성비,1.66
송정역,분위기,11.45
송정역,공간,21.19
송정역,서비스,13.89
송정역,청결도,37.12
송정역,집중도,33.35
송정역,가성비,35.13
관악서울대입구R,분위기,1.43
관악서울대입구R,공간,1.64
관악서울대입구R,서비스,3.94
관악서울대입구R,청결도,6.86
관악서울대입구R,집중도,6.81
관악서울대입구R,가성비,4.78
신림DT,분위기,2.34
신림DT,공간,2.87
신림DT,서비스,4.3
신림DT,청결도,6.99
신림DT,집중도,7.42
신림DT,가성비,3.56
서울대역,분위기,1.95
서울대역,공간,2.9
서울대역,서비스,4.01
서울대역,청결도,6.71
서울대역,집중도,7.0
서울대역,가성비,5.17
낙성대DT,분위기,2.17
낙성대DT,공간,2.64
낙성대DT,서비스,4.1
낙성대DT,청결도,6.98
낙성대DT,집중도,7.59
낙성대DT,가성비,4.17
사당,분위기,1.89
사당,공간,3.25
사당,서비스,4.23
사당,청결도,6.98
사당,집중도,7.53
사당,가성비,5.91
보라매대교,분위기,1.43
보라매대교,공간,2.4
보라매대교,서비스,4.01
보라매대교,청결도,6.97
보라매대교,집중도,7.21
보라매대교,가성비,5.01
신림,분위기,2.77
신림,공간,3.81
신림,서비스,4.56
신림,청결도,7.43
신림,집중도,8.03
신림,가성비,6.08
서울대입구역,분위기,2.11
서울대입구역,공간,2.41
서울대입구역,서비스,4.01
서울대입구역,청결도,6.13
