Store,Theme,final_theme_score
삼성,프라이버시,11.58
삼성,집중도,15.18
삼성,개인 시간,22.62
삼성,편의성,16.8
큰길타워,분위기,3.58
큰길타워,환경,10.83
큰길타워,프라이버시,12.09
큰길타워,집중도,13.68
큰길타워,개인 시간,29.76
큰길타워,편의성,18.1
강남구청역,분위기,1.05
강남구청역,환경,5.77
강남구청역,프라이버시,7.04
강남구청역,집중도,9.54
강남구청역,개인 시간,11.94
강남구청역,편의성,10.79
대치역,분위기,6.22
대치역,환경,13.32
대치역,프라이버시,24.99
대치역,집중도,18.79
대치역,개인 시간,52.6
대치역,편의성,26.67
포이,분위기,1.79
포이,환경,5.57
포이,프라이버시,7.31
포이,집중도,8.93
포이,개인 시간,7.51
포이,편의성,7.56
아크플레이스,분위기,1.71
아크플레이스,환경,5.43
아크플레이스,프라이버시,6.91
아크플레이스,집중도,11.03
아크플레이스,개인 시간,10.98
아크플레이스,편의성,9.57
학여울역,분위기,1.59
학여울역,환경,6.94
학여울역,프라이버시,8.16
학여울역,집중도,10.61
학여울역,개인 시간,7.8
학여울역,편의성,7.45
선정릉역,분위기,0.71
선정릉역,환경,6.08
선정릉역,프라이버시,6.68
선정릉역,집중도,9.53
선정릉역,개인 시간,12.09
선정릉역,편의성,11.79
삼성현대힐,분위기,1.65
삼성현대힐,환경,6.2
삼성현대힐,프라이버시,7.24
삼성현대힐,집중도,8.42
삼성현대힐,개인 시간,10.84
삼성현대힐,편의성,6.94
GS타워,분위기,6.27
GS타워,환경,9.42
GS타워,프라이버시,16.64
GS타워,집중도,11.5
GS타워,개인 시간,13.81
GS타워,편의성,9.2
역삼럭키,분위기,1.83
역삼럭키,환경,8.09
역삼럭키,프라이버시,7.4
역삼럭키,집중도,10.64
역삼럭키,개인 시간,10.95
역삼럭키,편의성,10.47
신압구정,분위기,0.69
신압구정,환경,6.03
신압구정,프라이버시,5.57
신압구정,집중도,10.12
신압구정,개인 시간,13.81
신압구정,편의성,10.76
압구정로데오역,분위기,0.46
압구정로데오역,환경,4.72
압구정로데오역,프라이버시,5.18
압구정로데오역,집중도,8.0
압구정로데오역,개인 시간,7.86
압구정로데오역,편의성,7.96
르네상스사거리,분위기,1.57
르네상스사거리,환경,7.37
르네상스사거리,프라이버시,6.75
르네상스사거리,집중도,10.05
르네상스사거리,개인 시간,12.12
르네상스사거리,편의성,9.96
포스코,분위기,6.3
포스코,환경,11.97
포스코,프라이버시,18.56
포스코,집중도,18.38
포스코,개인 시간,41.65
포스코,편의성,24.69
선릉로,분위기,1.95
선릉로,환경,6.29
선릉로,프라이버시,7.63
선릉로,집중도,11.86
선릉로,개인 시간,14.91
선릉로,편의성,12.14
논현힐탑,분위기,1.32
논현힐탑,환경,6.57
논현힐탑,프라이버시,7.48
논현힐탑,집중도,10.88
논현힐탑,개인 시간,13.39
논현힐탑,편의성,11.5
도산가로수길,분위기,0.67
도산가로수길,환경,5.85
도산가로수길,프라이버시,5.4
도산가로수길,집중도,8.76
도산가로수길,개인 시간,9.5
도산가로수길,편의성,9.24
매봉역,분위기,19.28
매봉역,환경,40.47
매봉역,프라이버시,100.57
매봉역,집중도,187.58
매봉역,개인 시간,557.11
매봉역,편의성,507.15
대치삼성,분위기,1.71
대치삼성,환경,6.26
대치삼성,프라이버시,8.83
대치삼성,집중도,10.32
대치삼성,개인 시간,8.69
대치삼성,편의성,5.67
언주역,분위기,2.35
언주역,환경,5.4
언주역,프라이버시,6.6
언주역,집중도,11.89
언주역,개인 시간,10.16
언주역,편의성,10.53
삼성역,분위기,1.86
삼성역,환경,4.97
삼성역,프라이버시,7.84
삼성역,집중도,11.53
삼성역,개인 시간,21.88
삼성역,편의성,16.25
테헤란로아남타워,분위기,0.2
테헤란로아남타워,환경,4.3
테헤란로아남타워,프라이버시,4.19
테헤란로아남타워,집중도,7.66
테헤란로아남타워,개인 시간,8.69
테헤란로아남타워,편의성,7.7
강남논현,분위기,8.53
강남논현,환경,14.32
강남논현,프라이버시,24.99
강남논현,집중도,17.37
강남논현,개인 시간,41.76
강남논현,편의성,21.27
삼성동,분위기,1.39
삼성동,환경,6.89
삼성동,프라이버시,6.52
삼성동,집중도,10.33
삼성동,개인 시간,9.67
삼성동,편의성,9.5
청담역,분위기,7.03
청담역,환경,8.86
청담역,프라이버시,16.17
청담역,집중도,29.58
청담역,개인 시간,57.81
청담역,편의성,45.14
압구정현대아파트,분위기,25.21
압구정현대아파트,환경,23.01
압구정현대아파트,프라이버시,44.37
압구정현대아파트,집중도,55.09
압구정현대아파트,개인 시간,113.02
압구정현대아파트,편의성,66.64
강남청담빌딩,분위기,38.93
강남청담빌딩,환경,39.97
강남청담빌딩,프라이버시,66.67
강남청담빌딩,집중도,150.39
강남청담빌딩,개인 시간,140.78
강남청담빌딩,편의성,103.13
역삼이마트,분위기,86.73
역삼이마트,환경,38.05
역삼이마트,프라이버시,266.87
역삼이마트,집중도,76.83
역삼이마트,개인 시간,279.55
역삼이마트,편의성,28.83
강남세곡DT,분위기,26.36
강남세곡DT,환경,19.42
강남세곡DT,프라이버시,100.57
강남세곡DT,집중도,70.12
강남세곡DT,개인 시간,63.68
강남세곡DT,편의성,31.65
미아뉴타운,분위기,0.26
미아뉴타운,환경,4.75
미아뉴타운,프라이버시,6.29
미아뉴타운,집중도,8.42
미아뉴타운,개인 시간,5.34
미아뉴타운,편의성,6.2
강북구청사거리,분위기,-0.5
강북구청사거리,환경,3.59
강북구청사거리,프라이버시,3.78
강북구청사거리,집중도,6.51
강북구청사거리,개인 시간,4.25
강북구청사거리,편의성,5.29
미아사거리역,분위기,-0.31
미아사거리역,환경,3.88
미아사거리역,프라이버시,4.81
미아사거리역,집중도,7.5
미아사거리역,개인 시간,7.19
미아사거리역,편의성,7.14
수유역,분위기,0.06
수유역,환경,3.79
수유역,프라이버시,4.97
수유역,집중도,6.46
수유역,개인 시간,5.26
수유역,편의성,6.06
미아역,분위기,-0.3
미아역,환경,3.5
미아역,프라이버시,4.28
미아역,집중도,6.77
미아역,개인 시간,9.21
미아역,편의성,7.74
수유역5번출구,분위기,18.91
수유역5번출구,환경,19.94
수유역5번출구,프라이버시,30.49
수유역5번출구,집중도,46.74
수유역5번출구,개인 시간,187.04
수유역5번출구,편의성,103.23
파라스파라서울,분위기,0.42
파라스파라서울,환경,3.54
파라스파라서울,프라이버시,2.89
파라스파라서울,집중도,8.67
파라스파라서울,개인 시간,5.15
파라스파라서울,편의성,5.61
발산역사거리,분위기,0.59
발산역사거리,환경,4.77
발산역사거리,프라이버시,5.34
발산역사거리,집중도,7.76
발산역사거리,개인 시간,7.29
발산역사거리,편의성,6.9
마곡사이언스타워R,분위기,-0.11
마곡사이언스타워R,환경,3.16
마곡사이언스타워R,프라이버시,3.9
마곡사이언스타워R,집중도,7.16
마곡사이언스타워R,개인 시간,8.33
마곡사이언스타워R,편의성,6.68
방화DT,분위기,0.33
방화DT,환경,4.47
방화DT,프라이버시,4.92
방화DT,집중도,7.71
방화DT,개인 시간,6.45
방화DT,편의성,5.5
마곡나루역,분위기,0.12
마곡나루역,환경,4.46
마곡나루역,프라이버시,5.41
마곡나루역,집중도,7.92
마곡나루역,개인 시간,10.29
마곡나루역,편의성,7.68
마곡GMG,분위기,0.34
마곡GMG,환경,4.47
마곡GMG,프라이버시,5.13
마곡GMG,집중도,8.08
마곡GMG,개인 시간,14.62
마곡GMG,편의성,8.95
가양역,분위기,0.09
가양역,환경,4.46
가양역,프라이버시,4.22
가양역,집중도,7.51
가양역,개인 시간,10.54
가양역,편의성,7.11
화곡동,분위기,-0.18
화곡동,환경,4.05
화곡동,프라이버시,4.58
화곡동,집중도,7.51
화곡동,개인 시간,9.32
화곡동,편의성,6.22
등촌,분위기,0.81
등촌,환경,5.52
등촌,프라이버시,6.29
등촌,집중도,8.17
등촌,개인 시간,9.93
등촌,편의성,8.88
발산역5번출구,분위기,13.31
발산역5번출구,환경,14.29
발산역5번출구,프라이버시,24.83
발산역5번출구,집중도,30.38
발산역5번출구,개인 시간,57.66
발산역5번출구,편의성,22.97
화곡역8번출구,분위기,0.71
화곡역8번출구,환경,4.54
화곡역8번출구,프라이버시,5.28
화곡역8번출구,집중도,8.82
화곡역8번출구,개인 시간,13.33
화곡역8번출구,편의성,11.76
강서우장산,분위기,0.96
강서우장산,환경,5.0
강서우장산,프라이버시,6.37
강서우장산,집중도,9.58
강서우장산,개인 시간,16.23
강서우장산,편의성,11.08
등촌대로,분위기,0.25
등촌대로,환경,4.14
등촌대로,프라이버시,4.99
등촌대로,집중도,7.83
등촌대로,개인 시간,6.83
등촌대로,편의성,6.41
가양역사거리,분위기,-0.33
가양역사거리,환경,3.43
가양역사거리,프라이버시,4.2
가양역사거리,집중도,6.51
가양역사거리,개인 시간,7.09
가양역사거리,편의성,6.78
내발산,분위기,0.5
내발산,환경,4.9
내발산,프라이버시,5.62
내발산,집중도,7.82
내발산,개인 시간,7.78
내발산,편의성,7.12
마곡웰튼,분위기,0.41
마곡웰튼,환경,4.3
마곡웰튼,프라이버시,5.22
마곡웰튼,집중도,8.49
마곡웰튼,개인 시간,9.21
마곡웰튼,편의성,7.47
김포공항DT,분위기,1.57
김포공항DT,환경,4.74
김포공항DT,프라이버시,6.81
김포공항DT,집중도,9.52
김포공항DT,개인 시간,7.5
김포공항DT,편의성,6.71
강서NC,분위기,0.44
강서NC,환경,4.72
강서NC,프라이버시,5.89
강서NC,집중도,8.2
강서NC,개인 시간,7.92
강서NC,편의성,5.18
마곡나루공원,분위기,0.17
마곡나루공원,환경,2.19
마곡나루공원,프라이버시,3.39
마곡나루공원,집중도,6.74
마곡나루공원,개인 시간,4.64
마곡나루공원,편의성,5.0
송정역,분위기,12.36
송정역,환경,14.27
송정역,프라이버시,40.1
송정역,집중도,33.35
송정역,개인 시간,141.15
송정역,편의성,128.04
관악서울대입구R,분위기,-0.15
관악서울대입구R,환경,3.11
관악서울대입구R,프라이버시,4.44
관악서울대입구R,집중도,6.81
관악서울대입구R,개인 시간,10.54
관악서울대입구R,편의성,9.17
신림DT,분위기,0.58
신림DT,환경,4.26
신림DT,프라이버시,5.05
신림DT,집중도,7.42
신림DT,개인 시간,6.5
신림DT,편의성,6.1
서울대역,분위기,0.06
서울대역,환경,4.11
서울대역,프라이버시,4.44
서울대역,집중도,7.0
서울대역,개인 시간,6.53
서울대역,편의성,6.92
낙성대DT,분위기,0.36
낙성대DT,환경,3.92
낙성대DT,프라이버시,4.75
낙성대DT,집중도,7.59
낙성대DT,개인 시간,5.66
낙성대DT,편의성,6.02
사당,분위기,0.46
사당,환경,4.42
사당,프라이버시,5.31
사당,집중도,7.53
사당,개인 시간,6.31
사당,편의성,6.94
보라매대교,분위기,-0.24
보라매대교,환경,3.75
보라매대교,프라이버시,4.56
보라매대교,집중도,7.21
보라매대교,개인 시간,7.55
보라매대교,편의성,7.39
신림,분위기,1.12
신림,환경,4.96
신림,프라이버시,5.82
신림,집중도,8.03
신림,개인 시간,6.63
신림,편의성,7.31
서울대입구역,분위기,-0.05
서울대입구역,환경,3.72
서울대입구역,프라이버시,4.12
서울대입구역,집중도,6.87
서울대입구역,개인 시간,4.28
서울대입구역,편의성,5.38
서울대입구역8번출구,분위기,3.91
서울대입구역8번출구,환경,7.02
서울대입구역8번출구,프라이버시,13.91
서울대입구역8번출구,집중도,18.36
서울대입구역8번출구,개인 시간,25.13
서울대입구역8번출구,편의성,19.39
봉천역,분위기,0.61
봉천역,환경,3.56
봉천역,프라이버시,5.47
봉천역,집중도,7.41
봉천역,개인 시간,4.56
봉천역,편의성,5.47
봉천현대시장,분위기,87.73
봉천현대시장,환경,67.63
봉천현대시장,프라이버시,265.03
봉천현대시장,집중도,133.52
봉천현대시장,개인 시간,557.11
봉천현대시장,편의성,507.15
건국대,분위기,-0.13
건국대,환경,3.87
건국대,프라이버시,4.15
건국대,집중도,7.05
건국대,개인 시간,5.34
건국대,편의성,6.22
어린이대공원역,분위기,0.37
어린이대공원역,환경,4.64
어린이대공원역,프라이버시,4.63
어린이대공원역,집중도,8.08
어린이대공원역,개인 시간,6.48
어린이대공원역,편의성,7.18
아차산역,분위기,-0.47
아차산역,환경,3.61
아차산역,프라이버시,3.98
아차산역,집중도,6.62
아차산역,개인 시간,4.88
아차산역,편의성,5.85
올림픽대교북단,분위기,0.46
올림픽대교북단,환경,5.44
올림픽대교북단,프라이버시,6.16
올림픽대교북단,집중도,9.6
올림픽대교북단,개인 시간,6.79
올림픽대교북단,편의성,6.47
구의DT,분위기,0.56
구의DT,환경,5.2
구의DT,프라이버시,6.49
구의DT,집중도,8.78
구의DT,개인 시간,6.11
구의DT,편의성,5.14
자양사거리,분위기,0.44
자양사거리,환경,4.72
자양사거리,프라이버시,5.7
자양사거리,집중도,8.28
자양사거리,개인 시간,14.34
자양사거리,편의성,7.95
군자역,분위기,-0.4
군자역,환경,4.02
군자역,프라이버시,4.57
군자역,집중도,6.98
군자역,개인 시간,6.45
군자역,편의성,6.83
광나루,분위기,0.41
광나루,환경,6.03
광나루,프라이버시,5.89
광나루,집중도,8.7
광나루,개인 시간,7.23
광나루,편의성,7.67
건대스타시티,분위기,1.7
건대스타시티,환경,6.7
건대스타시티,프라이버시,9.84
건대스타시티,집중도,12.52
건대스타시티,개인 시간,13.81
건대스타시티,편의성,7.29
구의역,분위기,-0.34
구의역,환경,4.03
구의역,프라이버시,4.47
구의역,집중도,7.6
구의역,개인 시간,8.87
구의역,편의성,6.51
광장,분위기,1.33
광장,환경,6.77
광장,프라이버시,9.6
광장,집중도,11.89
광장,개인 시간,28.43
광장,편의성,16.03
건국클래식,분위기,1.15
건국클래식,환경,5.59
건국클래식,프라이버시,7.87
건국클래식,집중도,9.2
건국클래식,개인 시간,7.0
건국클래식,편의성,6.67
화양삼거리,분위기,23.11
화양삼거리,환경,22.07
화양삼거리,프라이버시,43.79
화양삼거리,집중도,75.09
화양삼거리,개인 시간,113.02
화양삼거리,편의성,104.23
금천독산,분위기,0.7
금천독산,환경,4.46
금천독산,프라이버시,6.33
금천독산,집중도,8.12
금천독산,개인 시간,10.84
금천독산,편의성,6.85
가산디지털,분위기,0.3
가산디지털,환경,4.3
가산디지털,프라이버시,5.2
가산디지털,집중도,7.47
가산디지털,개인 시간,8.63
가산디지털,편의성,6.38
독산역,분위기,0.67
독산역,환경,4.22
독산역,프라이버시,5.31
독산역,집중도,7.52
독산역,개인 시간,15.54
독산역,편의성,9.75
가산퍼블릭,분위기,8.32
가산퍼블릭,환경,24.91
가산퍼블릭,프라이버시,16.63
가산퍼블릭,집중도,70.72
가산퍼블릭,개인 시간,21.87
가산퍼블릭,편의성,13.7
가산현대아울렛,분위기,0.53
가산현대아울렛,환경,4.61
가산현대아울렛,프라이버시,5.89
가산현대아울렛,집중도,9.26
가산현대아울렛,개인 시간,13.56
가산현대아울렛,편의성,6.21
가산케이에스,분위기,8.5
가산케이에스,환경,9.32
가산케이에스,프라이버시,18.59
가산케이에스,집중도,24.42
가산케이에스,개인 시간,71.39
가산케이에스,편의성,48.88
가산어반워크,분위기,49.74
가산어반워크,환경,85.81
가산어반워크,프라이버시,101.26
가산어반워크,집중도,119.63
가산어반워크,개인 시간,557.11
가산어반워크,편의성,255.57
가산그레이트,분위기,1.16
가산그레이트,환경,5.91
가산그레이트,프라이버시,6.59
가산그레이트,집중도,10.59
가산그레이트,개인 시간,14.94
가산그레이트,편의성,7.88
월계역,분위기,0.9
월계역,환경,5.52
월계역,프라이버시,5.72
월계역,집중도,8.51
월계역,개인 시간,9.82
월계역,편의성,6.37
월계트레이더스,분위기,-0.01
월계트레이더스,환경,4.08
월계트레이더스,프라이버시,5.42
월계트레이더스,집중도,6.83
월계트레이더스,개인 시간,5.63
월계트레이더스,편의성,4.49
상계초교사거리,분위기,-0.68
상계초교사거리,환경,2.96
상계초교사거리,프라이버시,3.43
상계초교사거리,집중도,6.0
상계초교사거리,개인 시간,3.89
상계초교사거리,편의성,5.04
공릉DT,분위기,0.03
공릉DT,환경,3.55
공릉DT,프라이버시,4.05
공릉DT,집중도,7.41
공릉DT,개인 시간,5.41
공릉DT,편의성,4.66
노원마들역,분위기,-0.56
노원마들역,환경,3.68
노원마들역,프라이버시,4.11
노원마들역,집중도,6.55
노원마들역,개인 시간,4.01
노원마들역,편의성,5.03
공릉역,분위기,-0.24
공릉역,환경,3.76
공릉역,프라이버시,4.36
공릉역,집중도,7.02
공릉역,개인 시간,4.95
공릉역,편의성,5.48
은행사거리,분위기,0.38
은행사거리,환경,4.19
은행사거리,프라이버시,5.95
은행사거리,집중도,7.51
은행사거리,개인 시간,10.31
은행사거리,편의성,8.8
노원KT,분위기,-0.19
노원KT,환경,3.93
노원KT,프라이버시,4.84
노원KT,집중도,7.14
노원KT,개인 시간,6.81
노원KT,편의성,6.73
광운대,분위기,1.84
광운대,환경,5.99
광운대,프라이버시,7.58
광운대,집중도,10.47
광운대,개인 시간,8.18
광운대,편의성,8.2
태릉입구역DT,분위기,0.26
태릉입구역DT,환경,3.03
태릉입구역DT,프라이버시,4.58
태릉입구역DT,집중도,7.31
태릉입구역DT,개인 시간,4.67
태릉입구역DT,편의성,5.31
노원상계,분위기,0.26
노원상계,환경,4.11
노원상계,프라이버시,5.12
노원상계,집중도,7.61
노원상계,개인 시간,5.42
노원상계,편의성,6.37
방학역,분위기,-0.47
방학역,환경,2.97
방학역,프라이버시,4.12
방학역,집중도,6.24
방학역,개인 시간,5.32
방학역,편의성,5.07
창동역,분위기,3.12
창동역,환경,6.4
창동역,프라이버시,14.01
창동역,집중도,19.59
창동역,개인 시간,24.2
창동역,편의성,15.71
노량진동,분위기,0.66
노량진동,환경,4.48
노량진동,프라이버시,5.11
노량진동,집중도,8.04
노량진동,개인 시간,11.25
노량진동,편의성,9.92
남성역,분위기,-0.01
남성역,환경,4.12
남성역,프라이버시,4.3
남성역,집중도,7.34
남성역,개인 시간,6.59
남성역,편의성,7.16
상도역,분위기,0.59
상도역,환경,3.68
상도역,프라이버시,5.34
상도역,집중도,7.39
상도역,개인 시간,5.89
상도역,편의성,6.48
보라매공원R,분위기,-0.39
보라매공원R,환경,2.46
보라매공원R,프라이버시,3.65
보라매공원R,집중도,6.43
보라매공원R,개인 시간,7.3
보라매공원R,편의성,6.95
이수자이,분위기,-0.1
이수자이,환경,4.35
이수자이,프라이버시,5.0
이수자이,집중도,7.72
이수자이,개인 시간,8.31
이수자이,편의성,6.9
노량진역,분위기,-0.2
노량진역,환경,3.8
노량진역,프라이버시,4.08
노량진역,집중도,6.99
노량진역,개인 시간,7.15
노량진역,편의성,7.42
신대방삼거리역,분위기,-0.4
신대방삼거리역,환경,3.76
신대방삼거리역,프라이버시,4.13
신대방삼거리역,집중도,6.62
신대방삼거리역,개인 시간,8.24
신대방삼거리역,편의성,6.61
중앙대,분위기,2.49
중앙대,환경,6.08
중앙대,프라이버시,9.42
중앙대,집중도,10.96
중앙대,개인 시간,11.25
중앙대,편의성,10.84
숭실대입구역,분위기,0.87
숭실대입구역,환경,5.32
숭실대입구역,프라이버시,5.93
숭실대입구역,집중도,8.72
숭실대입구역,개인 시간,6.35
숭실대입구역,편의성,7.13
숭실대,분위기,1.21
숭실대,환경,6.39
숭실대,프라이버시,6.51
숭실대,집중도,10.04
숭실대,개인 시간,7.64
숭실대,편의성,7.89
사당역,분위기,-0.69
사당역,환경,3.57
사당역,프라이버시,4.04
사당역,집중도,6.93
사당역,개인 시간,6.09
사당역,편의성,6.58
서강대프라자,분위기,4.04
서강대프라자,환경,12.87
서강대프라자,프라이버시,11.07
서강대프라자,집중도,14.19
서강대프라자,개인 시간,44.82
서강대프라자,편의성,25.64
상암YTN,분위기,0.18
상암YTN,환경,4.44
상암YTN,프라이버시,4.85
상암YTN,집중도,8.08
상암YTN,개인 시간,7.25
상암YTN,편의성,6.42
마포용강동,분위기,0.07
마포용강동,환경,4.9
마포용강동,프라이버시,5.0
마포용강동,집중도,9.54
마포용강동,개인 시간,14.07
마포용강동,편의성,12.29
홍대입구역사거리R,분위기,-0.23
홍대입구역사거리R,환경,2.42
