Store,Theme,final_theme_score
포스코,프라이버시,20.84
포스코,서비스,8.58
포스코,단체모임,13.95
포스코,가성비,13.82
선릉로,분위기,5.64
선릉로,공간,8.53
선릉로,프라이버시,6.06
선릉로,서비스,5.78
선릉로,단체모임,6.85
선릉로,가성비,7.6
논현힐탑,분위기,4.22
논현힐탑,공간,8.62
논현힐탑,프라이버시,5.81
논현힐탑,서비스,6.85
논현힐탑,단체모임,6.05
논현힐탑,가성비,8.54
도산가로수길,분위기,2.7
도산가로수길,공간,5.82
도산가로수길,프라이버시,4.14
도산가로수길,서비스,5.88
도산가로수길,단체모임,4.68
도산가로수길,가성비,8.21
매봉역,분위기,28.8
매봉역,공간,110.32
매봉역,프라이버시,46.93
매봉역,서비스,34.83
매봉역,단체모임,32.48
매봉역,가성비,161.36
대치삼성,분위기,4.99
대치삼성,공간,9.51
대치삼성,프라이버시,7.57
대치삼성,서비스,7.07
대치삼성,단체모임,6.43
대치삼성,가성비,2.09
언주역,분위기,5.23
언주역,공간,7.22
언주역,프라이버시,4.99
언주역,서비스,8.26
언주역,단체모임,7.46
언주역,가성비,17.91
삼성역,분위기,3.73
삼성역,공간,7.55
삼성역,프라이버시,8.52
삼성역,서비스,6.41
삼성역,단체모임,6.25
삼성역,가성비,11.81
테헤란로아남타워,분위기,3.13
테헤란로아남타워,공간,4.68
테헤란로아남타워,프라이버시,2.63
테헤란로아남타워,서비스,5.17
테헤란로아남타워,단체모임,4.37
테헤란로아남타워,가성비,5.8
강남논현,분위기,10.7
강남논현,공간,26.92
강남논현,프라이버시,28.62
강남논현,서비스,10.19
강남논현,단체모임,17.42
강남논현,가성비,14.54
삼성동,분위기,4.17
삼성동,공간,6.89
삼성동,프라이버시,5.99
삼성동,서비스,7.44
삼성동,단체모임,5.98
삼성동,가성비,10.76
청담역,분위기,10.11
청담역,공간,18.5
청담역,프라이버시,7.42
청담역,서비스,12.73
청담역,단체모임,12.02
청담역,가성비,23.7
압구정현대아파트,분위기,23.66
압구정현대아파트,공간,36.42
압구정현대아파트,프라이버시,22.22
압구정현대아파트,서비스,31.98
압구정현대아파트,단체모임,31.3
압구정현대아파트,가성비,39.08
강남청담빌딩,분위기,53.23
강남청담빌딩,공간,83.11
강남청담빌딩,프라이버시,25.46
강남청담빌딩,서비스,69.16
강남청담빌딩,단체모임,60.6
강남청담빌딩,가성비,98.21
역삼이마트,분위기,55.68
역삼이마트,공간,218.63
역삼이마트,프라이버시,277.58
역삼이마트,서비스,28.24
역삼이마트,단체모임,83.89
역삼이마트,가성비,17.35
강남세곡DT,분위기,37.35
강남세곡DT,공간,110.65
강남세곡DT,프라이버시,68.9
강남세곡DT,서비스,26.23
강남세곡DT,단체모임,70.66
강남세곡DT,가성비,29.42
미아뉴타운,분위기,2.45
