카테고리,메뉴,이미지_URL,칼로리(Kcal),당류(g),단백질(g),나트륨(mg),포화지방(g),카페인(mg)
스타벅스 피지오,제주팔삭 셔벗 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2024/01/[9200000004946]_20240103144959834.jpg,165.0,38.0,0.0,5.0,0.0,0.0
스타벅스 피지오,제주팔삭 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004947]_20231005084610514.jpg,150.0,34.0,0.0,5.0,0.0,0.0
스타벅스 피지오,쿨 라임 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[107051]_20210419112151972.jpg,105.0,25.0,0.0,20.0,0.0,110.0
티(티바나),아이스 인절미 제주 말차 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2025/01/[9200000005781]_20250110103336258.jpg,353.0,34.0,9.0,170.0,11.0,52.0
티(티바나),인절미 제주 말차 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2025/01/[9200000005780]_20250110103213092.jpg,452.0,43.0,14.0,240.0,14.0,58.0
티(티바나),민트 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000056]_20210415135215632.jpg,0.0,0.0,0.0,0.0,0.0,0.0
티(티바나),아이스 민트 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000059]_20210415141656038.jpg,0.0,0.0,0.0,0.0,0.0,0.0
티(티바나),아이스 얼 그레이 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000039]_20210415142055860.jpg,0.0,0.0,0.0,0.0,0.0,50.0
티(티바나),아이스 유스베리 티,https://image.istarbucks.co.kr/upload/store/skuimg/2024/08/[9200000000229]_20240813134939709.jpg,0.0,0.0,0.0,0.0,0.0,20.0
티(티바나),아이스 유자 민트 티,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/[9200000002959]_20220411155904911.jpg,95.0,22.0,0.0,5.0,0.0,0.0
티(티바나),아이스 잉글리쉬 브렉퍼스트 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000019]_20210415142323353.jpg,0.0,0.0,0.0,0.0,0.0,40.0
티(티바나),아이스 제주 유기농 녹차로 만든 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[400400000094]_20210415230316469.jpg,0.0,0.0,0.0,0.0,0.0,16.0
티(티바나),아이스 제주팔삭 & 자몽 허니 블랙 티,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004944]_20231005084446254.jpg,140.0,38.0,0.0,5.0,0.0,27.0
티(티바나),아이스 캐모마일 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000079]_20210415143641139.jpg,0.0,0.0,0.0,0.0,0.0,0.0
티(티바나),아이스 히비스커스 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000069]_20210415143811231.jpg,0.0,0.0,0.0,0.0,0.0,0.0
티(티바나),얼 그레이 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000036]_20210415143933425.jpg,0.0,0.0,0.0,0.0,0.0,70.0
티(티바나),유스베리 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000226]_20210415144434521.jpg,0.0,0.0,0.0,0.0,0.0,20.0
티(티바나),유자 민트 티,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/[9200000002956]_20220411155551915.jpg,140.0,33.0,0.0,10.0,0.0,0.0
티(티바나),잉글리쉬 브렉퍼스트 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000016]_20210415153648533.jpg,0.0,0.0,0.0,0.0,0.0,70.0
티(티바나),자몽 허니 블랙 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000187]_20210419131229539.jpg,125.0,30.0,0.0,5.0,0.0,70.0
티(티바나),제주 유기농 녹차로 만든 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[400400000091]_20210415132229904.jpg,0.0,0.0,0.0,0.0,0.0,16.0
티(티바나),제주팔삭 & 자몽 허니 블랙 티,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004943]_20231005084424843.jpg,140.0,38.0,0.0,5.0,0.0,70.0
티(티바나),캐모마일 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000076]_20210415154920731.jpg,0.0,0.0,0.0,0.0,0.0,0.0
티(티바나),히비스커스 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000066]_20210415155836395.jpg,0.0,0.0,0.0,0.0,0.0,0.0
티(티바나),레드 파워 패션 티,https://image.istarbucks.co.kr/upload/store/skuimg/2023/04/[9200000004566]_20230407153247174.jpg,190.0,31.0,1.0,40.0,0.0,33.0
티(티바나),레몬 캐모마일 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004990]_20231212110704134.jpg,130.0,30.0,0.0,10.0,0.0,0.0
티(티바나),복숭아 아이스 티(Trenta),https://image.istarbucks.co.kr/upload/store/skuimg/2024/07/[9200000005307]_20240717132740902.jpg,255.0,34.0,1.0,75.0,0.0,70.0
티(티바나),복숭아 아이스 티,https://image.istarbucks.co.kr/upload/store/skuimg/2024/07/[9200000005307]_20240717132740902.jpg,110.0,15.0,0.0,35.0,0.0,30.0
티(티바나),복숭아 핫 티,https://image.istarbucks.co.kr/upload/store/skuimg/2024/07/[9200000005304]_20240717132620949.jpg,160.0,21.0,0.0,50.0,0.0,70.0
