,이름,lat,long
291,서울아트센터,37.480866,127.012368
292,서초중앙로,37.501691,127.01152
293,센트럴시티,37.504707,127.004459
294,강남삼성타운,37.49562035,127.0277144
295,방배역,37.48200755,126.9976438
296,반포역,37.508589,127.011959
297,남부터미널,37.48467334,127.0169464
298,뉴코아강남,37.51031339,127.0069582
299,강남서초초교,37.5000875,127.02549090000002
300,교대,37.4923611,127.0142207
301,하이브랜드,37.46252023465575,127.03666795290289
302,신논현역,37.50529,127.023636
303,영동2교,37.48203954,127.0425748
304,남부터미널역5번출구,37.48436736,127.0142192
305,서래마을입구,37.49925284,126.9984801
306,몬테소리,37.4982695,127.026865
307,서초역,37.49067495,127.0086118
308,교대법원,37.496329,127.013336
309,강남GT타워,37.4979079083082,127.026162553761
310,서초동,37.485941,127.021525
311,서울교대,37.487397,127.015134
312,강남에비뉴,37.5025778098288,127.024105881331
313,반포자이,37.507170475349405,127.0099189083483
314,서초태우빌딩,37.48870504886586,127.03158117446388
315,교대역3번출구,37.4943456632732,127.014900469688
316,반포원베일리,37.504657083267006,126.99903302367885
317,양재역신분당역사,37.4839347328908,127.034544193436
318,강남역우송빌딩,37.4981314601413,127.02527908458
319,서이초교사거리,37.4918146,127.0252252
320,서울웨이브아트센터,37.518807,127.00704
321,길음역,37.602139,127.025271
322,미아이마트,37.61087411168365,127.02994239724302
323,종암DT,37.5919525,127.0360401
324,미아,37.607581,127.029303
325,성신여대정문,37.590910,127.018800
326,종암,37.601095,127.033847
327,삼선교,37.588696,127.00732070000003
328,월곡역,37.601718,127.040446
329,고대,37.58397192,127.0297352
330,현대미아,37.60837822,127.0287483
331,성신여대,37.593135,127.018379
332,안암역,37.586319,127.030556
333,한성대입구역,37.589054,127.004839
334,고대안암병원,37.58687889805418,127.02820333331364
335,장위뉴타운,37.618072316295915,127.05152854027804
336,성신여대입구역,37.59305,127.0167
337,송파나루역DT,37.510976,127.110358
338,송파헬리오시티,37.4977826892486,127.102851954992
339,잠실시그마타워,37.51461,127.102774
340,문정법원로R,37.487356272840365,127.11911981125742
341,송파개롱역,37.496956,127.13652
342,문정하비오,37.48211912934925,127.12354072397868
343,문정역,37.48529649766194,127.12227677436003
344,잠실대교남단R,37.515511,127.099006
345,송파위례,37.478416,127.143161
346,송파방이DT,37.506564,127.120495
347,올림픽평화의문,37.5156426,127.11648190000005
348,송파아이파크,37.47979344097158,127.12242043651424
349,송파사거리,37.5022788,127.1103904
350,석촌서호,37.5063929,127.0964684
351,문정로데오,37.491858429761606,127.12623104068281
352,올림픽훼미리,37.491616375205915,127.11626573028454
353,올림픽공원남문,37.5133,127.123113
354,방이역,37.5084904076542,127.126776485458
355,석촌호수,37.50957859,127.10532641
356,잠실푸르지오월드,37.517287,127.103247
357,잠실새내역,37.511679,127.081062
358,잠실역,37.515272,127.099231
359,갤러리아팰리스,37.511561,127.093616
360,아시아선수촌,37.51059,127.079047
361,올림픽아파트,37.515315,127.133237
362,가락본동,37.494812392616524,127.11883481297143
363,석촌역,37.5042626,127.10610769999994
364,가락시장역,37.49442875605291,127.1217432178345
365,가든파이브,37.477974676564614,127.12118515527476
366,문정역2번출구,37.48629340180307,127.12320273731552
367,잠실본동,37.5086445885442,127.07949103207
368,송파NC,37.47804418570353,127.12580079741947
369,송파거여역,37.49360000716603,127.14364544756283
370,몽촌토성역,37.516913,127.113127
371,송파KT,37.51394208,127.10699228
372,문정법조타운 한양타워,37.485796586165364,127.11781422446037
373,송파마천사거리DT,37.499829,127.147672
374,목동파리공원,37.535336,126.878852
375,등촌역,37.548884,126.86807
