옵션,매장명,위도,경도
지하철 인접,남부터미널역5번출구,37.48436736,127.0142192
지하철 인접,몬테소리,37.4982695,127.026865
지하철 인접,서초역,37.49067495,127.0086118
지하철 인접,강남GT타워,37.4979079083082,127.026162553761
지하철 인접,강남에비뉴,37.5025778098288,127.024105881331
지하철 인접,반포자이,37.507170475349405,127.0099189083483
지하철 인접,교대역3번출구,37.4943456632732,127.014900469688
지하철 인접,반포원베일리,37.504657083267006,126.99903302367885
지하철 인접,양재역신분당역사,37.4839347328908,127.034544193436
지하철 인접,길음역,37.602139,127.025271
지하철 인접,종암DT,37.5919525,127.0360401
지하철 인접,삼선교,37.588696,127.00732070000003
지하철 인접,월곡역,37.601718,127.040446
지하철 인접,성신여대,37.593135,127.018379
지하철 인접,안암역,37.586319,127.030556
지하철 인접,한성대입구역,37.589054,127.004839
지하철 인접,고대안암병원,37.58687889805418,127.02820333331364
지하철 인접,성신여대입구역,37.59305,127.0167
지하철 인접,송파나루역DT,37.510976,127.110358
지하철 인접,잠실시그마타워,37.51461,127.102774
지하철 인접,송파개롱역,37.496956,127.13652
지하철 인접,문정역,37.48529649766194,127.12227677436003
지하철 인접,잠실대교남단R,37.515511,127.099006
지하철 인접,올림픽평화의문,37.5156426,127.11648190000005
지하철 인접,송파사거리,37.5022788,127.1103904
지하철 인접,문정로데오,37.491858429761606,127.12623104068281
지하철 인접,올림픽훼미리,37.491616375205915,127.11626573028454
지하철 인접,올림픽공원남문,37.5133,127.123113
지하철 인접,방이역,37.5084904076542,127.126776485458
지하철 인접,잠실푸르지오월드,37.517287,127.103247
지하철 인접,잠실새내역,37.511679,127.081062
지하철 인접,잠실역,37.515272,127.099231
지하철 인접,아시아선수촌,37.51059,127.079047
지하철 인접,올림픽아파트,37.515315,127.133237
지하철 인접,가락본동,37.494812392616524,127.11883481297143
지하철 인접,석촌역,37.5042626,127.10610769999994
지하철 인접,가락시장역,37.49442875605291,127.1217432178345
지하철 인접,문정역2번출구,37.48629340180307,127.12320273731552
지하철 인접,송파NC,37.47804418570353,127.12580079741947
지하철 인접,송파거여역,37.49360000716603,127.14364544756283
지하철 인접,등촌역,37.548884,126.86807
지하철 인접,목동역,37.526684,126.863986
지하철 인접,목동오목로,37.525923,126.868438
지하철 인접,오목교역,37.523855929257174,126.87644987818643
지하철 인접,현대목동,37.526627173612354,126.87494068240842
지하철 인접,타임스퀘어R,37.51755,126.90516
지하철 인접,샛강역,37.5183551,126.9312716
지하철 인접,영등포역,37.517020000646795,126.9091910464292
지하철 인접,당산대로,37.533121,126.903804
지하철 인접,여의도IFC몰(L1)R,37.525386315990104,126.92606524560121
지하철 인접,여의도KBS R,37.526596,126.918456
지하철 인접,여의도화재보험,37.521345,126.926004
지하철 인접,국회대로,37.53026,126.919549
지하철 인접,국회의사당역,37.52805409993459,126.91711953333622
지하철 인접,여의도역R,37.523328,126.923439
지하철 인접,동여의도,37.52063015571123,126.93168638298105
지하철 인접,여의도ABL타워,37.518749,126.92779
지하철 인접,문래역,37.517446,126.895258
지하철 인접,당산,37.534994324005595,126.90000472153657
지하철 인접,여의도일신,37.52774993247095,126.92027623791678
지하철 인접,여의도,37.52403519,126.9245179
지하철 인접,롯데캐슬여의도,37.52025214,126.9263678
지하철 인접,여의도호성,37.52047101976742,126.92920636135348
지하철 인접,타임스퀘어B2,37.516922979246246,126.90330917802369
지하철 인접,타임스퀘어2F,37.51680365429925,126.90338002881407
지하철 인접,여의도IFC(1F),37.525273,126.924668
지하철 인접,여의도교직원공제회,37.52191490479988,126.92558789987339
지하철 인접,선유도역 1번출구,37.538333,126.893612
지하철 인접,영등포시장역,37.52349264546045,126.90497778447685
지하철 인접,영등포구청역,37.527967742744615,126.89620438907397
지하철 인접,서울양평역,37.523128,126.885809
지하철 인접,더현대서울(B2)R,37.5258834618679,126.928658229468
지하철 인접,여의도TP타워,37.521624938408046,126.92302031330276
지하철 인접,당산역사거리,37.53409659351415,126.90121370080551
지하철 인접,신풍역,37.5003469620528,126.908438384002
지하철 인접,불광역,37.609382,126.9303971
지하철 인접,구파발사거리,37.639617,126.91881
지하철 인접,연신내역사거리,37.618773940257306,126.92179889674078
지하철 인접,연신내,37.6203213,126.9198926
지하철 인접,구파발역,37.63446,126.918881
지하철 인접,구산역,37.611745,126.917678
지하철 인접,불광역8번출구,37.61199,126.9289
지하철 인접,녹번역,37.603307621312325,126.93528567756574
지하철 인접,혜화역,37.5824779,127.0021850
지하철 인접,경희궁로,37.571759,126.972343
지하철 인접,종로R,37.5708,126.9834
지하철 인접,정부서울청사R,37.574621312530724,126.97367761929035
지하철 인접,종로수송,37.57165162614545,126.98062335393885
지하철 인접,새문안로,37.569853082636385,126.97499519103074
지하철 인접,안국,37.577393946851735,126.98576427427058
지하철 인접,광화문D타워,37.57049132960646,126.97907003783457
지하철 인접,적선,37.57529940979838,126.97412453401081
지하철 인접,광화문,37.571254401637304,126.97631064081757
지하철 인접,종각,37.57001689280663,126.98450354974083
지하철 인접,종로관철,37.56913860117361,126.98593280684017
지하철 인접,경복궁역,37.5771508,126.97274530000004
